nom_geographique,type_region,population_2021,population_2016,variation_population_2016_2021_pct,logements_prives_2021,logements_prives_2016,variation_logements_prives_2016_2021_pct,logements_occupes_2021,logements_occupes_2016,variation_logements_occupes_2016_2021_pct,superficie_km2_2021,densite_population_km2_2021,classement_national_population_2021,classement_nb_population_2021
Nackawic,TV,962,941,2.2,451,455,-0.9,428,419,2.1,7.68,125.2,2158,155
New Maryland,P,2806,2606,7.7,1057,998,5.9,1042,975,6.9,375.02,7.5,1096,51
New Maryland,VL,4153,4174,-0.5,1550,1513,2.4,1529,1499,2.0,21.25,195.4,833,38
North Lake,P,282,233,21.0,383,387,-1.0,160,116,37.9,439.6,0.6,3568,244
Prince William,P,1083,930,16.5,648,672,-3.6,479,412,16.3,284.39,3.8,2015,140
Queensbury,P,1237,1174,5.4,579,587,-1.4,536,514,4.3,294.35,4.2,1862,126
Saint Marys,P,5084,4837,5.1,2030,1944,4.4,1954,1866,4.7,751.9,6.8,721,25
Southampton,P,1497,1484,0.9,699,719,-2.8,641,624,2.7,446.85,3.4,1665,104
Stanley,P,920,832,10.6,433,413,4.8,388,343,13.1,1218.38,0.8,2220,163
Stanley,VL,397,412,-3.6,182,182,0.0,164,160,2.5,16.93,23.5,3189,226
